Month,Province,Vehicle_type,Cause,Weather_condition,Slope_description
December,Pathum Thani,motorcycle,speeding,clear,no slope
December,Tak,private/passenger car,cutting in closely by people/vehicles/animals,clear,other
December,Chiang Rai,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Nonthaburi,private/passenger car,speeding,clear,no slope
December,Chiang Mai,motorcycle,speeding,clear,no slope
December,Buri Ram,private/passenger car,vehicle equipment failure,clear,no slope
December,Sakon Nakhon,4-wheel pickup truck,speeding,clear,no slope
December,Nakhon Phanom,motorcycle,speeding,clear,no slope
December,Udon Thani,motorcycle,speeding,clear,other
December,Lamphun,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Uttaradit,4-wheel pickup truck,speeding,clear,no slope
December,Nakhon Si Thammarat,motorcycle,vehicle equipment failure,clear,no slope
December,Bangkok,private/passenger car,speeding,clear,no slope
December,Nan,motorcycle,cutting in closely by people/vehicles/animals,dark,other
December,Kalasin,motorcycle,speeding,dark,no slope
December,Phra Nakhon Si Ayutthaya,4-wheel pickup truck,speeding,clear,no slope
December,Si Sa Ket,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Phetchabun,4-wheel pickup truck,overloaded vehicle,clear,no slope
December,Chiang Mai,motorcycle,speeding,clear,no slope
December,Samut Songkhram,private/passenger car,speeding,clear,no slope
December,Bangkok,private/passenger car,speeding,clear,no slope
December,Sakon Nakhon,private/passenger car,speeding,clear,no slope
December,Nakhon Phanom,4-wheel pickup truck,speeding,clear,no slope
December,Uthai Thani,motorcycle,speeding,clear,no slope
December,Songkhla,motorcycle,driving under the influence of alcohol,clear,no slope
December,Maha Sarakham,4-wheel pickup truck,speeding,clear,no slope
December,Ubon Ratchathani,motorcycle,speeding,clear,other
December,Lamphun,motorcycle,speeding,clear,no slope
December,Phra Nakhon Si Ayutthaya,motorcycle,reversing vehicle,clear,no slope
December,Chiang Mai,motorcycle,driving under the influence of alcohol,clear,no slope
December,Loburi,motorcycle,speeding,clear,no slope
December,Si Sa Ket,private/passenger car,speeding,clear,no slope
December,Samut Prakan,motorcycle,speeding,clear,no slope
December,Loburi,private/passenger car,speeding,clear,no slope
December,Nakhon Ratchasima,4-wheel pickup truck,speeding,clear,no slope
December,Maha Sarakham,motorcycle,speeding,clear,no slope
December,Buri Ram,motorcycle,driving under the influence of alcohol,clear,no slope
December,Phatthalung,private/passenger car,speeding,clear,no slope
December,Chiang Rai,motorcycle,speeding,clear,no slope
December,Satun,motorcycle,cutting in closely by people/vehicles/animals,clear,slope area
December,Chiang Mai,private/passenger car,speeding,clear,no slope
December,Saraburi,4-wheel pickup truck,speeding,clear,no slope
December,Nakhon Sawan,motorcycle,driving without headlights/illumination,clear,no slope
December,Ubon Ratchathani,4-wheel pickup truck,speeding,clear,no slope
December,Nong Khai,motorcycle,speeding,clear,no slope
December,Udon Thani,motorcycle,speeding,clear,no slope
December,Kalasin,motorcycle,speeding,clear,no slope
December,Sakon Nakhon,private/passenger car,speeding,clear,no slope
December,Maha Sarakham,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Phetchabun,6-wheel truck,vehicle equipment failure,clear,no slope
December,Nakhon Ratchasima,motorcycle,speeding,clear,no slope
December,Maha Sarakham,motorcycle,driving in the wrong lane,clear,no slope
December,Uthai Thani,private/passenger car,falling asleep,clear,no slope
December,Phra Nakhon Si Ayutthaya,motorcycle,speeding,clear,no slope
December,Maha Sarakham,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Suphan Buri,motorcycle,failure to yield/signal,clear,no slope
